Team,Name,Bahrain,Imola,Portugal,Spain,China,Azerbaijan,Canada,France,Austria,Britain
Red Bull,Sighboys,DNF20,DNF17,DNF20,-,-,-,DNF17,DNF19,DNF18,DNF18
Red Bull,Steve,5,5,-,-,3,2,-,-,-,1
Mercedes,Frenchy,-,14,7,2,10,9,3,2,DNF15,2
Mercedes,Evan,DNF18,3,DNF15,DNF20,-,-,-,-,-,-
McLaren,Connor,7,DNF19,DNF16,5,-,-,DNF20,5,3,3
McLaren,Brock,-,-,-,-,-,-,-,-,-,-
AlphaTauri,Tom,4,4,4,-,-,DNF17,DNF14,DNF18,DNF13,5
AlphaTauri,Potto,1,2,5,7,1,3,1,3,-,-
Alpine,Callum,6,1,DNF17,DNF18,2,DNF20,4,1,-,DNF17
Alpine,Matthew,2,18,DNF18,DNF16,5,1,DNF15,DNF17,1,DNF20
Williams,Bingham,3,7,1,1,14,DNF16,DNF16,6,2,6
